plaza;estrato;Sexo;Edad;estudios;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;p24;p25;p26;p27;p28;p29;p30;p31;p32;p33;p34;p35;p36;p37;p38;LARRETA;MANES;VIDAL;CFK;SCIOLI;MACRI;MASSA;BULLRICH;MILEI;LOUSTEAU;KICILLOF;SANTILLI;zona;weight
La Plata;4;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;No sabe;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Facundo Manes por Juntos por el Cambio;Indeciso;Patricia Bullrich por Juntos por el Cambio;En blanco;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Muy buena;Buena;Mala;Buena;Buena;Ns/Nc;Muy buena;Buena;Muy buena;Mala;Muy buena;Diego Santilli por Juntos;Nicolás Del Caño;Algunas;Positiva;Positiva;Positiva;Negativa;Positiva;Positiva;Ns Nr;Positiva;Positiva;Positiva;Negativa;Positiva;Grandes;0.917
Tucumán;3;Mujer;Mayor de 50 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Facundo Manes por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;En blanco;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Muy buena;Muy mala;Muy mala;Mala;Muy mala;Mala;Mala;Muy mala;Buena;Muy mala;;;Roberto Lavagna;Muchas;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;;Grandes;0.771
Tucumán;3;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Ninguno de los dos;Buena;Buena;Muy buena;Mala;Mala;Buena;Buena;Buena;Mala;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;Negativa;;Grandes;0.810321
Tucumán;3;Hombre;Mayor de 50 años;Nivel Secundario, ya sea completo o incompleto;Vuelva a gobernar Juntos por el Cambio;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Muy buena;Muy mala;Mala;Muy buena;Mala;Muy buena;Buena;Buena;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Positiva;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Positiva;Negativa;;Grandes;0.737076
Tucumán;3;Hombre;Entre 30 y 49 años;Nivel Secundario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;El peronismo no kirchnerista de Schiaretti y Urtubey;Juan Schiaretti por el peronismo federal;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Mala;Mala;Mala;Mala;;;Alberto Fernández y Cristina Kirchner;Pocas;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;Negativa;Negativa;Negativa;;Grandes;0.771
Pedernal;9;Mujer;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Daniel Scioli por el Frente de Todos;Daniel Scioli por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Javier Milei de Avanza Libertad;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Mala;Buena;Buena;Mala;Buena;Ns/Nc;Buena;Ns/Nc;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Positiva;Positiva;Negativa;Positiva;Ns Nr;Positiva;Ns Nr;Ns Nr;;Chicas;1.717
Pedernal;9;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;No sabe;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;No sabe;Podría llegar a votarlo;Nunca lo votaría;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Javier Milei de Avanza Libertad;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Buena;Buena;Muy mala;Buena;Muy mala;Ns/Nc;Ns/Nc;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Positiva;Positiva;Negativa;Positiva;Negativa;Ns Nr;Ns Nr;Ns Nr;;Chicas;1.717
Pedernal;9;Hombre;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;No sabe;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Mala;Buena;Mala;Buena;Buena;Mala;Ns/Nc;Ns/Nc;;;Alberto Fernández y Cristina Kirchner;Algunas;Positiva;Ns Nr;Positiva;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Ns Nr;Ns Nr;;Chicas;1.641452
Pedernal;9;Hombre;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Mala;Muy mala;Muy mala;Muy mala;Muy mala;Muy mala;Buena;Muy mala;Muy mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;;Chicas;1.717
Termas R Hondo;8;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Sergio Massa por el Frente de Todos;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Ns/Nc;Buena;Buena;Mala;Mala;Mala;Buena;Ns/Nc;Muy buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Ns Nr;Positiva;Positiva;Negativa;Negativa;Negativa;Positiva;Ns Nr;Positiva;;Chicas;2.182
Termas R Hondo;8;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Buena;Mala;Mala;Buena;Mala;Buena;Muy buena;Ns/Nc;Mala;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;Positiva;Ns Nr;Negativa;;Chicas;2.182
Pedernal;9;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No sabe/ no tiene opinión formada;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Mala;Buena;Mala;Mala;;;No sabe;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;;Chicas;1.717
Termas R Hondo;8;Mujer;Entre 30 y 49 años;Nivel Primario, ya sea completo o incompleto;No sabe/ no tiene opinión formada;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Esta indeciso;Indeciso;Indeciso;En blanco;Indeciso;Indeciso;Ninguno de los dos;Ninguno de los dos;Ninguno de los dos;Indeciso;Buena;Ns/Nc;Muy mala;Buena;Buena;Buena;Mala;Buena;Buena;Ns/Nc;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Positiva;Positiva;Positiva;Negativa;Positiva;Positiva;Ns Nr;Negativa;;Chicas;2.182
Termas R Hondo;8;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;El peronismo no kirchnerista de Schiaretti y Urtubey;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Juan Schiaretti por el peronismo federal;Ninguno de los dos;Ninguno de los dos;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Buena;Buena;Mala;Buena;Mala;Mala;Buena;Buena;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Positiva;Positiva;;Chicas;2.182
Termas R Hondo;8;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;No sabe;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;Buena;;;No sabe;Muchas;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;Positiva;;Chicas;2.2932819999999996
Rivadavia;8;Mujer;Entre 30 y 49 años;Nivel Universitario o Terciario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Mala;Mala;Mala;Mala;Mala;Mala;Muy mala;Buena;Mala;Mala;;;Roberto Lavagna;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;;Chicas;2.182
Termas R Hondo;8;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Mala;Buena;Buena;Mala;Buena;Mala;Mala;Ns/Nc;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Negativa;Positiva;Positiva;Negativa;Positiva;Negativa;Negativa;Ns Nr;Negativa;;Chicas;2.2932819999999996
Rivadavia;8;Mujer;Mayor de 50 años;Nivel Primario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;No sabe;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Juntos por el Cambio de Bullrich, Macri y Larreta;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Patricia Bullrich por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Ns/Nc;Buena;Mala;Mala;Mala;Mala;Mala;Ns/Nc;Ns/Nc;Ns/Nc;;;Mauricio Macri y Miguel Pichetto;Muchas;Positiva;Ns Nr;Positiva;Negativa;Negativa;Negativa;Negativa;Negativa;Ns Nr;Ns Nr;Ns Nr;;Chicas;2.085992
Termas R Hondo;8;Hombre;Entre 18 y 29 años;Nivel Primario, ya sea completo o incompleto;Siga gobernando el peronismo;Un liderazgo firme y capaz de imponer sus ideas;Si, es un impedimento;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Nunca lo votaría;Nunca lo votaría;Podría llegar a votarlo;Podría llegar a votarlo;Frente de Todos de Cristina y Alberto Fernández;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Axel Kicillof  por el Frente de Todos;Cristina Kirchner  por el Frente de Todos;Sergio Massa por el Frente de Todos;Daniel Scioli por el Frente de Todos;Horacio Rodríguez Larreta por Juntos por el Cambio;Sergio Massa por el Frente de Todos;Sergio Massa por el Frente de Todos;Buena;Ns/Nc;Buena;Mala;Buena;Mala;Buena;Buena;Mala;Ns/Nc;Mala;;;Alberto Fernández y Cristina Kirchner;Muchas;Positiva;Ns Nr;Positiva;Negativa;Positiva;Negativa;Positiva;Positiva;Negativa;Ns Nr;Negativa;;Chicas;2.182
Rivadavia;8;Mujer;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo que genere diálogo y  consensos ;Si, es un impedimento;Podría llegar a votarlo;Podría llegar a votarlo;Podría llegar a votarlo;Seguro lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Daniel Scioli por el Frente de Todos;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Buena;Buena;Muy buena;Buena;Muy mala;Buena;Ns/Nc;Muy buena;Buena;Mala;;;No sabe;Muchas;Positiva;Positiva;Positiva;Positiva;Positiva;Negativa;Positiva;Ns Nr;Positiva;Positiva;Negativa;;Chicas;2.182
Mendoza;3;Hombre;Entre 18 y 29 años;Nivel Secundario, ya sea completo o incompleto;Gobierne un partido político nuevo;Un liderazgo firme y capaz de imponer sus ideas;No, no es un impedimento;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;Seguro lo votaría;Nunca lo votaría;Nunca lo votaría;Nunca lo votaría;La Libertad Avanza de Javier Milei;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Javier Milei por Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Horacio Rodríguez Larreta por Juntos por el Cambio;Javier Milei de Avanza Libertad;Buena;Mala;Mala;Muy mala;Mala;Buena;Mala;Mala;Muy buena;Mala;Buena;;;No sabe;Muchas;Positiva;Negativa;Negativa;Negativa;Negativa;Positiva;Negativa;Negativa;Positiva;Negativa;Positiva;;Grandes;0.771
